id,full_name,display_name,slug,lnb_url,photo_url,birth_date,position,naturality,height_cm,weight_kg,profile_jersey_number,first_seen_season_id,last_seen_season_id,scrape_status,needs_manual_review,source_url
13,André de Souza Silva,Andrezão,andre-de-souza-silva,https://lnb.com.br/atletas/andre-de-souza-silva/,https://lnb.com.br/wp-content/uploads/2019/03/13-400x392.png,1990-11-25,Ala/Pivô,Cubatão (SP),200,114,13,1,11,success,0,https://lnb.com.br/atletas/andre-de-souza-silva/
14,Andre Luis Fonseca Guimarães,Ratto,andre-luis-fonseca-guimaraes,https://lnb.com.br/atletas/andre-luis-fonseca-guimar%c3%a3es/,https://lnb.com.br/wp-content/uploads/2015/08/Ratto1.png,1969-04-03,Armador,,0,,5,1,1,success,0,https://lnb.com.br/atletas/andre-luis-fonseca-guimar%c3%a3es/
15,Andre Luiz Bresolin Goes,Góes,andre-luiz-bresolin-goes,https://lnb.com.br/atletas/andr%c3%a9-luiz-bresolin-g%c3%b3es/,https://lnb.com.br/wp-content/uploads/2016/10/CabeçãoSite_0001_40-Andre-Goes-400x371.png,1987-03-05,Ala/Armador,Chapecó (SC),195,97,40,1,18,success,0,https://lnb.com.br/atletas/andr%c3%a9-luiz-bresolin-g%c3%b3es/
16,André Luiz Brugger De Mello Rodrigues,André,andre-luiz-brugger-de-mello-rodrigues,https://lnb.com.br/atletas/andr%c3%a9-luiz-brugger-de-mello-rodrigues/,https://lnb.com.br/wp-content/uploads/2014/01/5-Manteguinha-Rosto.png,1981-04-02,Armador,Rio de Janeiro (RJ),193,,5,1,6,success,0,https://lnb.com.br/atletas/andr%c3%a9-luiz-brugger-de-mello-rodrigues/
17,Andre Luiz G. de Oliveira,Andre,andre-luiz-g-de-oliveira,https://lnb.com.br/atletas/andre-luiz-g-de-oliveira/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1984-03-10,Pivô,,205,,16,1,2,success,0,https://lnb.com.br/atletas/andre-luiz-g-de-oliveira/
18,Andre Luiz Marques Ferreira Dos Santos,Mudo,andre-luiz-marques-ferreira-dos-santos,https://lnb.com.br/atletas/andre-luiz-marques-ferreira-dos-santos/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1977-07-20,Ala,São Paulo (SP),198,,49,1,5,success,0,https://lnb.com.br/atletas/andre-luiz-marques-ferreira-dos-santos/
19,André Luiz Quirino Pereira,A. Bambu,andre-luiz-quirino-pereira,https://lnb.com.br/atletas/andre-luiz-quirino-pereira/,https://lnb.com.br/wp-content/uploads/2018/11/14-2-400x367.png,1979-08-04,Pivô,Ribeirão Preto (SP),205,105,14,1,11,success,0,https://lnb.com.br/atletas/andre-luiz-quirino-pereira/
20,André Stefanelli Martins,Dedé,andre-stefanelli-martins,https://lnb.com.br/atletas/andr%c3%a9-stefanelli-martins/,https://lnb.com.br/wp-content/uploads/2016/10/8-1-400x368.png,1984-08-21,Ala,São Paulo (SP),198,92,8,1,11,success,0,https://lnb.com.br/atletas/andr%c3%a9-stefanelli-martins/
21,Antwine Cyprian Williams,A. Williams,antwine-cyprian-williams,https://lnb.com.br/atletas/antwine-cyprian-williams/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1975-05-15,Ala,Seattle (EUA),191,,99,1,1,success,0,https://lnb.com.br/atletas/antwine-cyprian-williams/
22,Aristides Josuel Dos Santos,Josuel,aristides-josuel-dos-santos,https://lnb.com.br/atletas/aristides-josuel-dos-santos/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1970-06-14,Pivô,,205,,12,1,3,success,0,https://lnb.com.br/atletas/aristides-josuel-dos-santos/
23,Arlindo Gomes Baltazar Neto,Neto,arlindo-gomes-baltazar-neto,https://lnb.com.br/atletas/arlindo-gomes-baltazar-neto/,https://lnb.com.br/wp-content/uploads/2016/11/Neto.png,1986-01-05,Ala/Armador,Vilhena (RO),76,76,14,1,9,success,0,https://lnb.com.br/atletas/arlindo-gomes-baltazar-neto/
24,Arnaldo de Souza Moreira Filho,Arnaldinho,arnaldo-de-souza-moreira-filho,https://lnb.com.br/atletas/arnaldo-de-souza-moreira-filho/,https://lnb.com.br/wp-content/uploads/2016/10/11-Arnaldinho-1.png,1978-10-21,Ala/Armador,Rio de Janeiro (RJ),187,88,11,1,10,success,0,https://lnb.com.br/atletas/arnaldo-de-souza-moreira-filho/
25,Arthur Henrique Stela Bernardi,Arthur,arthur-henrique-stela-bernardi-2,https://lnb.com.br/atletas/arthur-henrique-stela-bernardi-2/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1990-03-16,Armador,,0,,14,1,1,success,0,https://lnb.com.br/atletas/arthur-henrique-stela-bernardi-2/
26,Arthur Luiz Belchor Silva,Arthur,arthur-luiz-belchor-silva,https://lnb.com.br/atletas/arthur-luiz-belchor-silva/,https://lnb.com.br/wp-content/uploads/2016/10/Arthur-5.png,1982-09-30,Ala,Brasília (DF),196,95,4,1,15,success,0,https://lnb.com.br/atletas/arthur-luiz-belchor-silva/
27,Atílio Leonardo Gomes de Mello,Atílio,atilio-leonardo-gomes-de-mello,https://lnb.com.br/atletas/at%c3%adlio-leonardo-gomes-de-mello/,https://lnb.com.br/wp-content/uploads/2016/11/Atílio.png,1982-06-28,Pivô,Marília (SP),205,127,12,1,9,success,0,https://lnb.com.br/atletas/at%c3%adlio-leonardo-gomes-de-mello/
28,Audrei Parisotto,Audrei,audrei-parisotto,https://lnb.com.br/atletas/audrei-parisotto/,https://lnb.com.br/wp-content/uploads/2016/10/15-Audrei-Parisotto-Parisotto-Rosto-400x600.png,1984-09-27,Ala,Santa Cruz do Sul (RS),195,94,15,1,10,success,0,https://lnb.com.br/atletas/audrei-parisotto/
29,Augusto Cesar Bresolin Goes,Augusto,augusto-cesar-bresolin-goes,https://lnb.com.br/atletas/augusto-cesar-bresolin-goes/,https://lnb.com.br/wp-content/uploads/2014/07/Augusto.png,1979-10-14,Ala/Pivô,Joinville (SC),195,,40,1,3,success,0,https://lnb.com.br/atletas/augusto-cesar-bresolin-goes/
30,Bruno Enrico Mortari,Bruno Mortari,bruno-enrico-mortari,https://lnb.com.br/atletas/bruno-enrico-mortari/,https://lnb.com.br/wp-content/uploads/2014/01/25-Mortari-Rosto.png,1980-01-02,Ala,São Paulo (SP),186,,25,1,6,success,0,https://lnb.com.br/atletas/bruno-enrico-mortari/
31,Bruno Irigoyen,Bruno,bruno-irigoyen,https://lnb.com.br/atletas/bruno-irigoyen/,https://lnb.com.br/wp-content/uploads/2016/11/BrunoIrigoyen.png,1992-04-16,Ala,Porto Alegre (RS),198,90,8,1,8,success,0,https://lnb.com.br/atletas/bruno-irigoyen/
32,Bruno Machado Pinto E Silva,Brunão,bruno-machado-pinto-e-silva,https://lnb.com.br/atletas/bruno-machado-pinto-e-silva/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1990-07-13,Armador,,0,,66,1,1,success,0,https://lnb.com.br/atletas/bruno-machado-pinto-e-silva/
33,Bruno Pires Fiorotto,B. Fiorotto,bruno-pires-fiorotto,https://lnb.com.br/atletas/bruno-pires-fiorotto/,https://lnb.com.br/wp-content/uploads/2016/10/Fiorotto-1.png,1984-08-23,Pivô,Americana (SP),208,115,21,1,13,success,0,https://lnb.com.br/atletas/bruno-pires-fiorotto/
34,Bruno Vieira da Cruz Langsdorff,Bruninho,bruno-vieira-da-cruz-langsdorff,https://lnb.com.br/atletas/bruno-vieira-da-cruz-langsdorff/,https://lnb.com.br/wp-content/uploads/2016/10/25-Bruninho.png,1985-03-25,Armador,Rio de Janeiro (RJ),188,92,25,1,10,success,0,https://lnb.com.br/atletas/bruno-vieira-da-cruz-langsdorff/
35,Carlos Alexandre Rodrigues do Nascimento,Olivinha,carlos-alexandre-rodrigues-do-nascimento,https://lnb.com.br/atletas/carlos-alexandre-rodrigues-do-nascimento/,https://lnb.com.br/wp-content/uploads/2016/10/OLIVINHO-400x400.png,1983-04-18,Ala/Pivô,Rio de Janeiro (RJ),202,105,16,1,16,success,0,https://lnb.com.br/atletas/carlos-alexandre-rodrigues-do-nascimento/
36,Carlos Henrique Rodrigues Do Nascimento,Olivia,carlos-henrique-rodrigues-do-nascimento,https://lnb.com.br/atletas/carlos-henrique-rodrigues-do-nascimento/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1974-02-03,Ala/Pivô,Rio de Janeiro (RJ),211,,13,1,4,success,0,https://lnb.com.br/atletas/carlos-henrique-rodrigues-do-nascimento/
37,Cauê Borges dos Santos,C. Borges,caue-borges-dos-santos,https://lnb.com.br/atletas/cau%c3%aa-borges-dos-santos/,https://lnb.com.br/wp-content/uploads/2016/10/CabeçãoSite_0012_CaueBorges-400x400.png,1991-02-13,Ala,Franca (SP),186,89.4,4,1,18,success,0,https://lnb.com.br/atletas/cau%c3%aa-borges-dos-santos/
38,Cauê Verzola de Freitas,Cauê,caue-verzola-de-freitas,https://lnb.com.br/atletas/caue-verzola-de-freitas/,https://lnb.com.br/wp-content/uploads/2016/10/CabeçãoSite_0009_8-Caue-400x400.png,1988-05-05,Armador,São Paulo (SP),190,90,8,1,18,success,0,https://lnb.com.br/atletas/caue-verzola-de-freitas/
39,Charles Márcio Lopes E Silva,Charles,charles-marcio-lopes-e-silva,https://lnb.com.br/atletas/charles-m%c3%a1rcio-lopes-e-silva/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-06-28,Ala,Belo Horizonte (MG),203,,13,1,3,success,0,https://lnb.com.br/atletas/charles-m%c3%a1rcio-lopes-e-silva/
40,Cristiano Baierle,Cristiano,cristiano-baierle,https://lnb.com.br/atletas/cristiano-baierle/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1985-02-20,Ala/Pivô,Venâncio Aires (RS),201,,33,1,1,success,0,https://lnb.com.br/atletas/cristiano-baierle/
41,Daniel Almiro Zillmer,Gaúcho,daniel-almiro-zillmer,https://lnb.com.br/atletas/daniel-almiro-zillmer/,https://lnb.com.br/wp-content/uploads/2016/11/Gaúcho.png,1986-03-27,Ala,Três de Maio (RS),198,95,8,1,9,success,0,https://lnb.com.br/atletas/daniel-almiro-zillmer/
42,Daniel Andreev Conti,Daniel Conti,daniel-andreev-conti,https://lnb.com.br/atletas/daniel-andreev-conti/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-03-07,Pivô,São Paulo (SP),202,,8,1,5,success,0,https://lnb.com.br/atletas/daniel-andreev-conti/
43,Daniel Fonseca Barreto Soares,Daniel,daniel-fonseca-barreto-soares,https://lnb.com.br/atletas/daniel-fonseca-barreto-soares/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1978-01-01,Armador,Rio de Janeiro (RJ),190,,17,1,1,success,0,https://lnb.com.br/atletas/daniel-fonseca-barreto-soares/
44,Daniel Moraes Dos Santos Bezerra,Daniel,daniel-moraes-dos-santos-bezerra,https://lnb.com.br/atletas/daniel-moraes-dos-santos-bezerra/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1991-04-28,Armador,,0,,23,1,1,success,0,https://lnb.com.br/atletas/daniel-moraes-dos-santos-bezerra/
45,Daniel Nascimento Costa Souza,Daniel Filé,daniel-nascimento-costa-souza,https://lnb.com.br/atletas/daniel-nascimento-costa-souza/,https://lnb.com.br/wp-content/uploads/2014/01/12-Daniel-Costa-Rosto.png,1981-02-27,Pivô,Duque de Caxias (RJ),207,,31,1,8,success,0,https://lnb.com.br/atletas/daniel-nascimento-costa-souza/
46,Danilo Teixeira Aga,Danilo,danilo-teixeira-aga,https://lnb.com.br/atletas/danilo-teixeira-aga/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1989-04-18,Ala/Pivô,,189,,19,1,2,success,0,https://lnb.com.br/atletas/danilo-teixeira-aga/
47,Darlan Ferreira De Oliveira,Darlan,darlan-ferreira-de-oliveira,https://lnb.com.br/atletas/darlan-ferreira-de-oliveira/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1985-01-11,Pivô,Maceió (AL),207,,32,1,4,success,0,https://lnb.com.br/atletas/darlan-ferreira-de-oliveira/
48,David Da Silva Teles,David,david-da-silva-teles,https://lnb.com.br/atletas/david-da-silva-teles/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1983-01-28,Pivô,Cubatão (SP),204,,20,1,2,success,0,https://lnb.com.br/atletas/david-da-silva-teles/
49,Deivisson Dos Santos Costa,Deivisson,deivisson-dos-santos-costa,https://lnb.com.br/atletas/deivisson-dos-santos-costa/,https://lnb.com.br/wp-content/uploads/2013/08/15-Deivisson.png,1980-04-09,Pivô,Brasília (DF),210,,15,1,5,success,0,https://lnb.com.br/atletas/deivisson-dos-santos-costa/
50,Diego Dias Silva,Diego Dias,diego-dias-silva,https://lnb.com.br/atletas/diego-dias-silva/,https://lnb.com.br/wp-content/uploads/2016/10/DIego-Dias.png,1990-05-10,Pivô,Bauru (SP),205,110,9,1,5,success,0,https://lnb.com.br/atletas/diego-dias-silva/
51,Diego Dos Santos Augusto,Diego,diego-dos-santos-augusto,https://lnb.com.br/atletas/diego-dos-santos-augusto/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1990-10-22,Pivô,,175,,41,1,2,success,0,https://lnb.com.br/atletas/diego-dos-santos-augusto/
52,Diego Pinheiro Da Silva,Diego,diego-pinheiro-da-silva,https://lnb.com.br/atletas/diego-pinheiro-da-silva/,https://lnb.com.br/wp-content/uploads/2016/02/Diego.png,1980-06-14,Ala,Goiânia (GO),195,,2,1,8,success,0,https://lnb.com.br/atletas/diego-pinheiro-da-silva/
53,Douglas De Paulo Viegas,Viegas,douglas-de-paulo-viegas,https://lnb.com.br/atletas/douglas-de-paulo-viegas/,https://lnb.com.br/wp-content/uploads/2016/10/Viegas.png,1979-06-19,Ala/Pivô,,196,,34,1,2,success,0,https://lnb.com.br/atletas/douglas-de-paulo-viegas/
54,Douglas Grokala Gorauskas,Gorauskas,douglas-grokala-gorauskas,https://lnb.com.br/atletas/douglas-grokala-gorauskas/,https://lnb.com.br/wp-content/uploads/2014/01/15-Gorauskas-Rosto.png,1983-02-24,Pivô,,205,,15,1,6,success,0,https://lnb.com.br/atletas/douglas-grokala-gorauskas/
55,Eduardo Augusto Reis Baeta,Feliz,eduardo-augusto-reis-baeta,https://lnb.com.br/atletas/eduardo-augusto-reis-baeta/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1984-02-25,Ala,Belo Horizonte (MG),195,,4,1,2,success,0,https://lnb.com.br/atletas/eduardo-augusto-reis-baeta/
56,Eduardo Magalhães Machado,Duda,eduardo-magalhaes-machado,https://lnb.com.br/atletas/eduardo-magalh%c3%a3es-machado/,https://lnb.com.br/wp-content/uploads/2019/10/10-1-400x408.png,1982-09-10,Ala,Rio de Janeiro (RJ),196,85,3,1,14,success,0,https://lnb.com.br/atletas/eduardo-magalh%c3%a3es-machado/
57,Eduardo Mariano de Oliveira,Edu Mariano,eduardo-mariano-de-oliveira,https://lnb.com.br/atletas/eduardo-mariano-de-oliveira/,https://lnb.com.br/wp-content/uploads/2016/10/17-Edu-Mariano.png,1983-09-29,Ala,Franca (SP),193,95,17,1,10,success,0,https://lnb.com.br/atletas/eduardo-mariano-de-oliveira/
58,Edwandesson Carvalho,Eddy,edwandersson-carvalho,https://lnb.com.br/atletas/edwandersson-carvalho/,https://lnb.com.br/wp-content/uploads/2016/10/CabeçãoSite_0009_Eddy-400x400.png,1987-03-29,Ala,Vitória (ES),197,102,33,1,18,success,0,https://lnb.com.br/atletas/edwandersson-carvalho/
59,Eneias Matos Martins,Enéias,eneias-matos-martins,https://lnb.com.br/atletas/eneias-matos-martins/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1984-06-09,Armador,,202,,15,1,2,success,0,https://lnb.com.br/atletas/eneias-matos-martins/
60,Eric Arthur Romualdo,Tatu,eric-arthur-romualdo,https://lnb.com.br/atletas/eric-arthur-romualdo/,https://lnb.com.br/wp-content/uploads/2016/10/15-Tatu.png,1983-03-14,Armador,Rio Claro (SP),183,78,5,1,8,success,0,https://lnb.com.br/atletas/eric-arthur-romualdo/
61,Erik Amadeu Duarte Jorge,Erik,erik-amadeu-duarte-jorge,https://lnb.com.br/atletas/erik-amadeu-duarte-jorge/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1989-06-04,Armador,,0,,8,1,1,success,0,https://lnb.com.br/atletas/erik-amadeu-duarte-jorge/
62,Evandro Fernandes Pinto,Soró,evandro-fernandes-pinto,https://lnb.com.br/atletas/evandro-fernandes-pinto/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1980-11-08,Ala/Pivô,Bauru (SP),190,,10,1,5,success,0,https://lnb.com.br/atletas/evandro-fernandes-pinto/
63,Everton Vinicius De Moraes,Everton,everton-vinicius-de-moraes,https://lnb.com.br/atletas/everton-vinicius-de-moraes/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1987-01-20,Ala/Pivô,,196,,4,1,2,success,0,https://lnb.com.br/atletas/everton-vinicius-de-moraes/
64,Fabiano De Oliveira Souza,Fabiano,fabiano-de-oliveira-souza,https://lnb.com.br/atletas/fabiano-de-oliveira-souza/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-03-09,Ala/Pivô,,0,,43,1,1,success,0,https://lnb.com.br/atletas/fabiano-de-oliveira-souza/
65,Fábio Schoenberger,Fábio Catarina,fabio-schoenberger,https://lnb.com.br/atletas/f%c3%a1bio-schoenberger/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-04-30,Ala,Joinville (SC),192,,77,1,2,success,0,https://lnb.com.br/atletas/f%c3%a1bio-schoenberger/
66,Fabricio Russo de Oliveira,Fabrício,fabricio-russo-de-oliveira,https://lnb.com.br/atletas/fabricio-russo-de-oliveira/,https://lnb.com.br/wp-content/uploads/2016/11/1.-FABRICIO-RUSSO-400x400.png,1985-05-01,Ala/Pivô,São Paulo (SP),200,92,1,1,17,success,0,https://lnb.com.br/atletas/fabricio-russo-de-oliveira/
67,Facundo Luis Sucatzky,Sucatzky,facundo-luis-sucatzky,https://lnb.com.br/atletas/facundo-luis-sucatzky/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1972-04-09,Armador,Ceres (ARG),177,,6,1,3,success,0,https://lnb.com.br/atletas/facundo-luis-sucatzky/
68,Felipe Gustavo Da Silva,Felipe,felipe-gustavo-da-silva,https://lnb.com.br/atletas/felipe-gustavo-da-silva/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1990-10-22,Armador,Araraquara (SP),187,,90,1,4,success,0,https://lnb.com.br/atletas/felipe-gustavo-da-silva/
69,Felipe Mello De Andrade Figueira,Felipe,felipe-mello-de-andrade-figueira,https://lnb.com.br/atletas/felipe-mello-de-andrade-figueira/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1979-01-18,Armador,,0,,18,1,1,success,0,https://lnb.com.br/atletas/felipe-mello-de-andrade-figueira/
70,Fernando Carneiro Coloneze,Coloneze,fernando-carneiro-coloneze,https://lnb.com.br/atletas/fernando-carneiro-coloneze/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1978-07-13,Pivô,Rio de Janeiro (RJ),207,,45,1,5,success,0,https://lnb.com.br/atletas/fernando-carneiro-coloneze/
71,Fernando Feres Penna,F. Penna,fernando-feres-penna,https://lnb.com.br/atletas/fernando-feres-penna/,https://lnb.com.br/wp-content/uploads/2015/11/Penna.png,1983-10-24,Armador,Franca (SP),189,,7,1,8,success,0,https://lnb.com.br/atletas/fernando-feres-penna/
72,Fernando Ferreira Dos Reis,Fernando Reis,fernando-ferreira-dos-reis,https://lnb.com.br/atletas/fernando-ferreira-dos-reis/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-06-29,Armador,Franca (SP),186,,14,1,5,success,0,https://lnb.com.br/atletas/fernando-ferreira-dos-reis/
73,Fernando Fischer,F. Fischer,fernando-fischer,https://lnb.com.br/atletas/fernando-fischer/,https://lnb.com.br/wp-content/uploads/2015/01/14-F.-Fischer-Rosto.png,1981-08-14,Ala/Armador,São Paulo (SP),190,,14,1,7,success,0,https://lnb.com.br/atletas/fernando-fischer/
74,Fernando Martins Alvim,Fernando,fernando-martins-alvim,https://lnb.com.br/atletas/fernando-martins-alvim/,https://lnb.com.br/wp-content/uploads/2017/01/08-Fernando.png,1980-12-26,Pivô,Divinópolis (MG),202,100,8,1,7,success,0,https://lnb.com.br/atletas/fernando-martins-alvim/
75,Flavio Aurélio Dos Santos Soares,Espiga,flavio-aurelio-dos-santos-soares,https://lnb.com.br/atletas/flavio-aur%c3%a9lio-dos-santos-soares/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1972-12-13,Armador,Rio de Janeiro (RJ),187,,8,1,2,success,0,https://lnb.com.br/atletas/flavio-aur%c3%a9lio-dos-santos-soares/
76,Flavio Henrique Alves,Flávio,flavio-henrique-alves,https://lnb.com.br/atletas/flavio-henrique-alves/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-02-28,Ala/Pivô,,195,,6,1,2,success,0,https://lnb.com.br/atletas/flavio-henrique-alves/
77,Francisco Tardivo Delben,Chico,francisco-tardivo-delben,https://lnb.com.br/atletas/francisco-tardivo-delben/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1983-06-29,Ala/Pivô,São Carlos (SP),202,,7,1,5,success,0,https://lnb.com.br/atletas/francisco-tardivo-delben/
78,Fransérgio Gilberto Marques,Fransérgio,fransergio-gilberto-marques,https://lnb.com.br/atletas/frans%c3%a9rgio-gilberto-marques/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1981-07-08,Ala,Franca (SP),189,,20,1,1,success,0,https://lnb.com.br/atletas/frans%c3%a9rgio-gilberto-marques/
79,Frederico Lima Santos,Fred,frederico-lima-santos,https://lnb.com.br/atletas/frederico-lima-santos/,https://lnb.com.br/wp-content/uploads/2016/11/9-Fred.png,1980-06-08,Armador,Acre (AC),185,95,9,1,9,success,0,https://lnb.com.br/atletas/frederico-lima-santos/
80,Frederico Rossi Dos Santos,Rossi,frederico-rossi-dos-santos,https://lnb.com.br/atletas/frederico-rossi-dos-santos/,https://lnb.com.br/wp-content/uploads/2014/10/Rosto9.png,1980-04-09,Ala,Brasília (DF),195,,17,1,7,success,0,https://lnb.com.br/atletas/frederico-rossi-dos-santos/
81,Gorauskas,Gorauskas,gorauskas,https://lnb.com.br/atletas/gorauskas/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,----------,Ala/Armador,,0,,1001,1,1,success,0,https://lnb.com.br/atletas/gorauskas/
82,Guilherme Barros Da Luz,Guilherme Luz,guilherme-barros-da-luz,https://lnb.com.br/atletas/guilherme-barros-da-luz/,https://lnb.com.br/wp-content/themes/lnb-2016/avatar_padrao.png,1979-12-11,Armador,Porto Alegre (RS),189,,25,1,1,success,0,https://lnb.com.br/atletas/guilherme-barros-da-luz/
83,Guilherme Filipin Alves Pereira,Filipin,guilherme-filipin-alves-pereira,https://lnb.com.br/atletas/guilherme-filipin-alves-pereira/,https://lnb.com.br/wp-content/uploads/2018/11/11-5-400x362.png,1983-08-07,Ala,São Paulo (SP),188,92,11,1,11,success,0,https://lnb.com.br/atletas/guilherme-filipin-alves-pereira/
